Distances between estimated and original density matrices using various distances:

Number of purity values tried = 2000
Number of density matrices per purity parameter = 500
Total number of measurements for each of X, Y and Z = 500

PURITY, 	OPERATOR, 	TRACE, 		FIDELITY, 	NON PHYSICAL
0.04300,	0.07268,	0.10278, 	0.12673, 	0.00400
0.04350,	0.07424,	0.10499, 	0.12939, 	0.00000
0.04400,	0.07202,	0.10185, 	0.12511, 	0.00000
0.04450,	0.07589,	0.10732, 	0.13117, 	0.00200
0.04500,	0.07529,	0.10648, 	0.13005, 	0.00000
0.04550,	0.07612,	0.10765, 	0.13149, 	0.00200
0.04600,	0.07741,	0.10948, 	0.13292, 	0.00000
0.04650,	0.07826,	0.11067, 	0.13289, 	0.00200
0.04700,	0.07605,	0.10756, 	0.12950, 	0.00200
0.04750,	0.07942,	0.11232, 	0.13516, 	0.00000
0.04800,	0.07912,	0.11190, 	0.13368, 	0.00000
0.04850,	0.07915,	0.11193, 	0.13361, 	0.00000
0.04900,	0.08094,	0.11447, 	0.13605, 	0.00200
0.04950,	0.08342,	0.11797, 	0.13950, 	0.00000
0.05000,	0.08248,	0.11665, 	0.13793, 	0.00200
0.05050,	0.08143,	0.11516, 	0.13647, 	0.00000
0.05100,	0.08130,	0.11498, 	0.13605, 	0.00000
0.05150,	0.08386,	0.11859, 	0.13873, 	0.00000
0.05200,	0.08342,	0.11798, 	0.13768, 	0.00000
0.05250,	0.08350,	0.11808, 	0.13752, 	0.00000
0.05300,	0.08641,	0.12220, 	0.14170, 	0.00000
0.05350,	0.08800,	0.12445, 	0.14419, 	0.00000
0.05400,	0.08539,	0.12076, 	0.13947, 	0.00000
0.05450,	0.09053,	0.12804, 	0.14780, 	0.00000
0.05500,	0.08508,	0.12032, 	0.13875, 	0.00000
0.05550,	0.08772,	0.12406, 	0.14204, 	0.00000
0.05600,	0.08948,	0.12655, 	0.14423, 	0.00000
0.05650,	0.09029,	0.12769, 	0.14568, 	0.00000
0.05700,	0.09330,	0.13195, 	0.15035, 	0.00000
0.05750,	0.09238,	0.13064, 	0.14769, 	0.00000
0.05800,	0.09067,	0.12822, 	0.14549, 	0.00000
0.05850,	0.09319,	0.13180, 	0.14844, 	0.00000
0.05900,	0.09154,	0.12945, 	0.14543, 	0.00000
0.05950,	0.09608,	0.13587, 	0.15173, 	0.00000
0.06000,	0.09112,	0.12886, 	0.14443, 	0.00000
0.06050,	0.09444,	0.13356, 	0.14938, 	0.00000
0.06100,	0.09418,	0.13319, 	0.14849, 	0.00000
0.06150,	0.09721,	0.13748, 	0.15309, 	0.00000
0.06200,	0.09458,	0.13375, 	0.14891, 	0.00000
0.06250,	0.09290,	0.13138, 	0.14537, 	0.00000
0.06300,	0.09846,	0.13924, 	0.15296, 	0.00000
0.06350,	0.09868,	0.13956, 	0.15316, 	0.00000
0.06400,	0.09732,	0.13764, 	0.15064, 	0.00000
0.06450,	0.09948,	0.14069, 	0.15396, 	0.00000
0.06500,	0.10020,	0.14170, 	0.15409, 	0.00000
0.06550,	0.10122,	0.14314, 	0.15550, 	0.00000
0.06600,	0.10362,	0.14654, 	0.15843, 	0.00000
0.06650,	0.10372,	0.14669, 	0.15880, 	0.00000
0.06700,	0.10174,	0.14389, 	0.15582, 	0.00000
0.06750,	0.10440,	0.14764, 	0.15874, 	0.00000
0.06800,	0.10687,	0.15113, 	0.16173, 	0.00000
0.06850,	0.10318,	0.14592, 	0.15648, 	0.00000
0.06900,	0.10555,	0.14927, 	0.15983, 	0.00000
0.06950,	0.10578,	0.14959, 	0.15959, 	0.00000
0.07000,	0.10703,	0.15136, 	0.16076, 	0.00000
0.07050,	0.10655,	0.15068, 	0.16022, 	0.00000
0.07100,	0.10741,	0.15190, 	0.16151, 	0.00000
0.07150,	0.10783,	0.15249, 	0.16174, 	0.00000
0.07200,	0.10981,	0.15529, 	0.16385, 	0.00000
0.07250,	0.10978,	0.15526, 	0.16367, 	0.00000
0.07300,	0.11046,	0.15622, 	0.16383, 	0.00000
0.07350,	0.11023,	0.15590, 	0.16307, 	0.00000
0.07400,	0.11177,	0.15806, 	0.16503, 	0.00000
0.07450,	0.11143,	0.15758, 	0.16413, 	0.00000
0.07500,	0.11225,	0.15875, 	0.16561, 	0.00000
0.07550,	0.11120,	0.15726, 	0.16352, 	0.00000
0.07600,	0.11329,	0.16022, 	0.16584, 	0.00000
0.07650,	0.11294,	0.15973, 	0.16536, 	0.00000
0.07700,	0.11678,	0.16516, 	0.17028, 	0.00000
0.07750,	0.11343,	0.16041, 	0.16568, 	0.00000
0.07800,	0.11480,	0.16234, 	0.16739, 	0.00000
0.07850,	0.11733,	0.16593, 	0.17004, 	0.00000
0.07900,	0.11331,	0.16024, 	0.16432, 	0.00000
0.07950,	0.11893,	0.16820, 	0.17152, 	0.00000
0.08000,	0.11757,	0.16627, 	0.16959, 	0.00000
0.08050,	0.11625,	0.16441, 	0.16797, 	0.00000
0.08100,	0.11639,	0.16460, 	0.16724, 	0.00000
0.08150,	0.11773,	0.16649, 	0.16890, 	0.00000
0.08200,	0.11758,	0.16629, 	0.16833, 	0.00000
0.08250,	0.11745,	0.16610, 	0.16819, 	0.00000
0.08300,	0.12406,	0.17544, 	0.17624, 	0.00000
0.08350,	0.12137,	0.17165, 	0.17245, 	0.00000
0.08400,	0.12055,	0.17049, 	0.17115, 	0.00000
0.08450,	0.12492,	0.17666, 	0.17647, 	0.00000
0.08500,	0.12010,	0.16984, 	0.17023, 	0.00000
0.08550,	0.12054,	0.17046, 	0.17059, 	0.00000
0.08600,	0.11938,	0.16883, 	0.16863, 	0.00000
0.08650,	0.12241,	0.17311, 	0.17263, 	0.00000
0.08700,	0.12323,	0.17427, 	0.17305, 	0.00000
0.08750,	0.12162,	0.17200, 	0.17086, 	0.00000
0.08800,	0.12246,	0.17319, 	0.17160, 	0.00000
0.08850,	0.12405,	0.17543, 	0.17324, 	0.00000
0.08900,	0.12633,	0.17865, 	0.17602, 	0.00000
0.08950,	0.12485,	0.17657, 	0.17390, 	0.00000
0.09000,	0.12663,	0.17908, 	0.17576, 	0.00000
0.09050,	0.12412,	0.17553, 	0.17263, 	0.00000
0.09100,	0.12957,	0.18324, 	0.17906, 	0.00000
0.09150,	0.13117,	0.18550, 	0.18098, 	0.00000
0.09200,	0.12827,	0.18140, 	0.17715, 	0.00000
0.09250,	0.12994,	0.18376, 	0.17879, 	0.00000
